case_name,strategy,key_shape,rls_scope,policy_shape,query_kind,sample,total_ms,result_rows,visibility_us,hidden_nodes,hidden_relationships,spi_calls,requested_keys,returned_keys,requested_key_bytes,returned_key_bytes,source_rows
p3_combined_eager,eager,scalar,combined,sparse_allow,edge_one_hop,1,433.672,1,394364,19800,19800,0,0,0,0,0,399
p3_combined_lazy,lazy,scalar,combined,sparse_allow,edge_one_hop,1,48.038,1,0,0,0,3,3,2,9,6,2
p3_edge_hidden_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,320.81,1,281962,0,9900,0,0,0,0,0,99
p3_edge_hidden_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,41.74,1,0,0,0,1,1,0,3,0,0
p3_edge_visible_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,318.335,2,279227,0,9900,0,0,0,0,0,99
p3_edge_visible_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,41.268,2,0,0,0,1,1,1,3,3,1
p3_no_rls_auto,auto,scalar,none,no_rls,traverse_depth_4,1,37.629,5,0,0,0,0,0,0,0,0,0
p3_node_bfs_eager,eager,scalar,node,sparse_allow,traverse_depth_4,1,154.123,1,112399,19800,9900,0,0,0,0,0,300
p3_node_bfs_lazy,lazy,scalar,node,sparse_allow,traverse_depth_4,1,43.828,1,0,0,0,3,3,2,9,6,2
p3_node_inbound_eager,eager,scalar,node,sparse_allow,inbound_one_hop,1,149.251,1,112285,19800,9900,0,0,0,0,0,300
p3_node_inbound_lazy,lazy,scalar,node,sparse_allow,inbound_one_hop,1,42.44,1,0,0,0,3,3,1,7,3,1
p3_node_multiseed_eager,eager,scalar,node,sparse_allow,multi_seed_one_hop,1,144.651,2,108430,19800,9900,0,0,0,0,0,300
p3_node_multiseed_lazy,lazy,scalar,node,sparse_allow,multi_seed_one_hop,1,49.665,2,0,0,0,6,6,4,18,12,4
p4_dfs_no_rls_auto,auto,scalar,none,no_rls,dfs_depth_4,1,34.543,5,0,0,0,0,0,0,0,0,0
p4_node_dfs_any_eager,eager,scalar,node,sparse_allow,dfs_any_depth_4,1,142.419,1,106459,19800,9900,0,0,0,0,0,300
p4_node_dfs_any_lazy,lazy,scalar,node,sparse_allow,dfs_any_depth_4,1,44.208,1,0,0,0,3,3,2,9,6,2
p4_node_dfs_in_eager,eager,scalar,node,sparse_allow,dfs_in_depth_4,1,147.267,1,110394,19800,9900,0,0,0,0,0,300
p4_node_dfs_in_lazy,lazy,scalar,node,sparse_allow,dfs_in_depth_4,1,43.459,1,0,0,0,3,3,1,7,3,1
p4_node_dfs_out_eager,eager,scalar,node,sparse_allow,dfs_out_depth_4,1,151.657,1,113863,19800,9900,0,0,0,0,0,300
p4_node_dfs_out_lazy,lazy,scalar,node,sparse_allow,dfs_out_depth_4,1,43.899,1,0,0,0,3,3,2,9,6,2
p4_node_path_eager,eager,scalar,node,broad_allow,shortest_path,1,9324.821,5,9287621,0,0,0,0,0,0,0,30000
p4_node_path_lazy,lazy,scalar,node,broad_allow,shortest_path,1,45.606,5,0,0,0,7,8,8,24,24,8
p4_path_no_rls_auto,auto,scalar,none,no_rls,shortest_path,1,34.102,5,0,0,0,0,0,0,0,0,0
