case_name,strategy,key_shape,rls_scope,policy_shape,query_kind,samples,p50_ms,p95_ms,p50_visibility_ms,p95_visibility_ms,result_rows,hidden_nodes,hidden_relationships,min_spi_calls,max_spi_calls,min_requested_keys,max_requested_keys,min_returned_keys,max_returned_keys,min_requested_key_bytes,max_requested_key_bytes,min_returned_key_bytes,max_returned_key_bytes,min_source_rows,max_source_rows
p3_combined_eager,eager,scalar,combined,sparse_allow,edge_one_hop,1,433.672,433.672,394.364,394.364,1,19800,19800,0,0,0,0,0,0,0,0,0,0,399,399
p3_combined_lazy,lazy,scalar,combined,sparse_allow,edge_one_hop,1,48.038,48.038,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p3_edge_hidden_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,320.81,320.81,281.962,281.962,1,0,9900,0,0,0,0,0,0,0,0,0,0,99,99
p3_edge_hidden_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,41.74,41.74,0,0,1,0,0,1,1,1,1,0,0,3,3,0,0,0,0
p3_edge_visible_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,318.335,318.335,279.227,279.227,2,0,9900,0,0,0,0,0,0,0,0,0,0,99,99
p3_edge_visible_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,41.268,41.268,0,0,2,0,0,1,1,1,1,1,1,3,3,3,3,1,1
p3_no_rls_auto,auto,scalar,none,no_rls,traverse_depth_4,1,37.629,37.629,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3_node_bfs_eager,eager,scalar,node,sparse_allow,traverse_depth_4,1,154.123,154.123,112.399,112.399,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p3_node_bfs_lazy,lazy,scalar,node,sparse_allow,traverse_depth_4,1,43.828,43.828,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p3_node_inbound_eager,eager,scalar,node,sparse_allow,inbound_one_hop,1,149.251,149.251,112.285,112.285,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p3_node_inbound_lazy,lazy,scalar,node,sparse_allow,inbound_one_hop,1,42.44,42.44,0,0,1,0,0,3,3,3,3,1,1,7,7,3,3,1,1
p3_node_multiseed_eager,eager,scalar,node,sparse_allow,multi_seed_one_hop,1,144.651,144.651,108.43,108.43,2,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p3_node_multiseed_lazy,lazy,scalar,node,sparse_allow,multi_seed_one_hop,1,49.665,49.665,0,0,2,0,0,6,6,6,6,4,4,18,18,12,12,4,4
p4_dfs_no_rls_auto,auto,scalar,none,no_rls,dfs_depth_4,1,34.543,34.543,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4_node_dfs_any_eager,eager,scalar,node,sparse_allow,dfs_any_depth_4,1,142.419,142.419,106.459,106.459,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p4_node_dfs_any_lazy,lazy,scalar,node,sparse_allow,dfs_any_depth_4,1,44.208,44.208,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p4_node_dfs_in_eager,eager,scalar,node,sparse_allow,dfs_in_depth_4,1,147.267,147.267,110.394,110.394,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p4_node_dfs_in_lazy,lazy,scalar,node,sparse_allow,dfs_in_depth_4,1,43.459,43.459,0,0,1,0,0,3,3,3,3,1,1,7,7,3,3,1,1
p4_node_dfs_out_eager,eager,scalar,node,sparse_allow,dfs_out_depth_4,1,151.657,151.657,113.863,113.863,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p4_node_dfs_out_lazy,lazy,scalar,node,sparse_allow,dfs_out_depth_4,1,43.899,43.899,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p4_node_path_eager,eager,scalar,node,broad_allow,shortest_path,1,9324.821,9324.821,9287.621,9287.621,5,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000
p4_node_path_lazy,lazy,scalar,node,broad_allow,shortest_path,1,45.606,45.606,0,0,5,0,0,7,7,8,8,8,8,24,24,24,24,8,8
p4_path_no_rls_auto,auto,scalar,none,no_rls,shortest_path,1,34.102,34.102,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
