benchmark,median_ns,median_ci_lower_ns,median_ci_upper_ns
edge_type_width_artifact_copy/u16_255_labels_2000000_artifact_bytes,23571.091,23521.211,23688.713
edge_type_width_artifact_copy/u16_65534_labels_2000000_artifact_bytes,23581.981,23519.381,23747.227
edge_type_width_artifact_copy/u32_254_labels_4000000_artifact_bytes,47368.704,47028.359,47764.252
edge_type_width_artifact_copy/u32_65535_labels_4000000_artifact_bytes,48111.415,47941.323,48328.511
edge_type_width_artifact_copy/u8_254_labels_1000000_artifact_bytes,11806.295,11786.719,11868.189
edge_type_width_decode/u16_255_labels_2000000_artifact_bytes,179237.396,178049.620,180372.074
edge_type_width_decode/u16_65534_labels_2000000_artifact_bytes,178030.201,177373.313,178909.918
edge_type_width_decode/u32_254_labels_4000000_artifact_bytes,61785.506,61208.114,62746.277
edge_type_width_decode/u32_65535_labels_4000000_artifact_bytes,61123.132,61037.260,61286.815
edge_type_width_decode/u8_254_labels_1000000_artifact_bytes,16232.797,16154.685,16319.381
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_1024_depth_4_out_filter_none,1639.142,1625.014,1648.431
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_1_depth_4_out_filter_none,3.961,3.959,3.972
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_64_depth_4_out_filter_none,113.067,111.187,114.935
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_8_depth_16_out_filter_none,64.483,63.841,66.515
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_8_depth_1_out_filter_none,4.429,4.378,4.478
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_8_depth_4_in_filter_none,20.535,20.396,20.553
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_8_depth_4_out_filter_all,27.619,25.382,31.120
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_8_depth_4_out_filter_none,15.428,15.252,15.731
edge_type_width_traversal/u16_255_labels_2000000_artifact_bytes/degree_8_depth_4_out_filter_one,21.641,21.602,22.085
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_1024_depth_4_out_filter_none,1802.680,1799.936,1803.148
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_1_depth_4_out_filter_none,4.010,3.978,4.036
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_64_depth_4_out_filter_none,118.179,117.200,120.963
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_8_depth_16_out_filter_none,66.259,65.801,66.895
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_8_depth_1_out_filter_none,4.422,4.381,4.680
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_8_depth_4_in_filter_none,20.375,20.235,20.531
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_8_depth_4_out_filter_all,28.059,23.348,33.796
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_8_depth_4_out_filter_none,16.354,16.061,16.906
edge_type_width_traversal/u16_65534_labels_2000000_artifact_bytes/degree_8_depth_4_out_filter_one,22.248,22.107,22.383
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_1024_depth_4_out_filter_none,2892.439,2870.261,2949.659
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_1_depth_4_out_filter_none,4.951,4.949,4.965
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_64_depth_4_out_filter_none,186.588,185.461,187.586
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_8_depth_16_out_filter_none,99.737,99.567,100.406
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_8_depth_1_out_filter_none,7.019,6.985,7.244
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_8_depth_4_in_filter_none,25.206,25.138,25.452
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_8_depth_4_out_filter_all,29.333,29.114,31.311
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_8_depth_4_out_filter_none,25.017,24.713,25.260
edge_type_width_traversal/u32_254_labels_4000000_artifact_bytes/degree_8_depth_4_out_filter_one,30.288,29.931,31.626
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_1024_depth_4_out_filter_none,3065.274,3040.639,3078.891
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_1_depth_4_out_filter_none,5.031,4.997,5.051
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_64_depth_4_out_filter_none,189.331,188.698,189.837
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_8_depth_16_out_filter_none,103.481,102.509,106.540
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_8_depth_1_out_filter_none,7.184,6.999,7.464
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_8_depth_4_in_filter_none,25.697,25.624,26.626
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_8_depth_4_out_filter_all,29.939,29.733,30.151
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_8_depth_4_out_filter_none,25.328,25.302,25.364
edge_type_width_traversal/u32_65535_labels_4000000_artifact_bytes/degree_8_depth_4_out_filter_one,30.137,29.767,31.107
edge_type_width_traversal/u8_254_labels_1000000_artifact_bytes/degree_1024_depth_4_out_filter_none,127.400,127.123,127.982
edge_type_width_traversal/u8_254_labels_1000000_artifact_bytes/degree_1_depth_4_out_filter_none,4.809,4.749,4.848
edge_type_width_traversal/u8_254_labels_1000000_artifact_bytes/degree_64_depth_4_out_filter_none,81.039,76.467,86.785
edge_type_width_traversal/u8_254_labels_1000000_artifact_bytes/degree_8_depth_16_out_filter_none,49.942,48.331,50.619
edge_type_width_traversal/u8_254_labels_1000000_artifact_bytes/degree_8_depth_1_out_filter_none,3.554,3.505,3.734
edge_type_width_traversal/u8_254_labels_1000000_artifact_bytes/degree_8_depth_4_in_filter_none,10.983,10.789,11.229
