candidate_width,label_count,edge_count,artifact_bytes,degree,depth,direction,filter_selectivity,examined_edges,traversal_median_ns,elements_per_ns
u16,255,1000000,2000000,1024,4,out,none,4096,1639.142,2.499
u16,255,1000000,2000000,1,4,out,none,4,3.961,1.010
u16,255,1000000,2000000,64,4,out,none,256,113.067,2.264
u16,255,1000000,2000000,8,16,out,none,128,64.483,1.985
u16,255,1000000,2000000,8,1,out,none,8,4.429,1.806
u16,255,1000000,2000000,8,4,in,none,32,20.535,1.558
u16,255,1000000,2000000,8,4,out,all,32,27.619,1.159
u16,255,1000000,2000000,8,4,out,none,32,15.428,2.074
u16,255,1000000,2000000,8,4,out,one,32,21.641,1.479
u16,65534,1000000,2000000,1024,4,out,none,4096,1802.680,2.272
u16,65534,1000000,2000000,1,4,out,none,4,4.010,0.998
u16,65534,1000000,2000000,64,4,out,none,256,118.179,2.166
u16,65534,1000000,2000000,8,16,out,none,128,66.259,1.932
u16,65534,1000000,2000000,8,1,out,none,8,4.422,1.809
u16,65534,1000000,2000000,8,4,in,none,32,20.375,1.571
u16,65534,1000000,2000000,8,4,out,all,32,28.059,1.140
u16,65534,1000000,2000000,8,4,out,none,32,16.354,1.957
u16,65534,1000000,2000000,8,4,out,one,32,22.248,1.438
u32,254,1000000,4000000,1024,4,out,none,4096,2892.439,1.416
u32,254,1000000,4000000,1,4,out,none,4,4.951,0.808
u32,254,1000000,4000000,64,4,out,none,256,186.588,1.372
u32,254,1000000,4000000,8,16,out,none,128,99.737,1.283
u32,254,1000000,4000000,8,1,out,none,8,7.019,1.140
u32,254,1000000,4000000,8,4,in,none,32,25.206,1.270
u32,254,1000000,4000000,8,4,out,all,32,29.333,1.091
u32,254,1000000,4000000,8,4,out,none,32,25.017,1.279
u32,254,1000000,4000000,8,4,out,one,32,30.288,1.057
u32,65535,1000000,4000000,1024,4,out,none,4096,3065.274,1.336
u32,65535,1000000,4000000,1,4,out,none,4,5.031,0.795
u32,65535,1000000,4000000,64,4,out,none,256,189.331,1.352
u32,65535,1000000,4000000,8,16,out,none,128,103.481,1.237
u32,65535,1000000,4000000,8,1,out,none,8,7.184,1.114
u32,65535,1000000,4000000,8,4,in,none,32,25.697,1.245
u32,65535,1000000,4000000,8,4,out,all,32,29.939,1.069
u32,65535,1000000,4000000,8,4,out,none,32,25.328,1.263
u32,65535,1000000,4000000,8,4,out,one,32,30.137,1.062
u8,254,1000000,1000000,1024,4,out,none,4096,127.400,32.151
u8,254,1000000,1000000,1,4,out,none,4,4.809,0.832
u8,254,1000000,1000000,64,4,out,none,256,81.039,3.159
u8,254,1000000,1000000,8,16,out,none,128,49.942,2.563
u8,254,1000000,1000000,8,1,out,none,8,3.554,2.251
u8,254,1000000,1000000,8,4,in,none,32,10.983,2.914
u8,254,1000000,1000000,8,4,out,all,32,15.337,2.086
u8,254,1000000,1000000,8,4,out,none,32,11.830,2.705
u8,254,1000000,1000000,8,4,out,one,32,12.830,2.494
