benchmark_id,statistic,confidence_level,lower_bound_ns,point_estimate_ns,upper_bound_ns
open_type_bfs/query_surface=bfs/label_count=254/selectivity=all_matched/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,median,0.95,1457.1343007135574,1466.0623195718654,1474.8124787322768
open_type_bfs/query_surface=bfs/label_count=254/selectivity=half_of_32/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,median,0.95,1035.6197019723986,1048.9455430163057,1059.0506864564009
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=1/depth=4/csr_direction=out/csr_type_bytes_one_direction=4/encoding=adaptive_u8,median,0.95,322.1095333534664,323.92651619348743,324.8995779599544
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=1024/depth=4/csr_direction=out/csr_type_bytes_one_direction=4096/encoding=adaptive_u8,median,0.95,163247.62274283933,163800.8653375734,164659.75532724505
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=64/depth=4/csr_direction=out/csr_type_bytes_one_direction=256/encoding=adaptive_u8,median,0.95,8477.18352497305,8507.230628668105,8597.2445586912
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=1/csr_direction=out/csr_type_bytes_one_direction=8/encoding=adaptive_u8,median,0.95,408.8317794956556,410.43884698003023,411.3448854943996
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=16/csr_direction=out/csr_type_bytes_one_direction=128/encoding=adaptive_u8,median,0.95,4735.891352498193,4748.674441802088,4761.421378319461
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=4/csr_direction=in/csr_type_bytes_one_direction=32/encoding=adaptive_u8,median,0.95,1366.545450469077,1390.7703995323786,1463.1879570108476
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,median,0.95,1328.4840739593296,1338.6574336458625,1341.71579889464
open_type_bfs/query_surface=bfs/label_count=254/selectivity=none_matched/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,median,0.95,181.9206767826376,187.3124694867546,192.8695203837966
