benchmark_id,query_surface,label_count,request,request_shape,selectivity,degree,depth,csr_direction,encoding,csr_type_bytes_one_direction,latency_median_ns,latency_ci_lower_ns,latency_ci_upper_ns,throughput_per_second
open_type_bfs/query_surface=bfs/label_count=254/selectivity=all_matched/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,all_matched,8,4,out,adaptive_u8,32,1466.0623195718654,1457.1343007135574,1474.8124787322768,682099.2441112805
open_type_bfs/query_surface=bfs/label_count=254/selectivity=half_of_32/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,half_of_32,8,4,out,adaptive_u8,32,1048.9455430163057,1035.6197019723986,1059.0506864564009,953338.3373978025
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=1/depth=4/csr_direction=out/csr_type_bytes_one_direction=4/encoding=adaptive_u8,bfs,254,,,no_filter,1,4,out,adaptive_u8,4,323.92651619348743,322.1095333534664,324.8995779599544,3087119.917662687
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=1024/depth=4/csr_direction=out/csr_type_bytes_one_direction=4096/encoding=adaptive_u8,bfs,254,,,no_filter,1024,4,out,adaptive_u8,4096,163800.8653375734,163247.62274283933,164659.75532724505,6104.973853093653
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=64/depth=4/csr_direction=out/csr_type_bytes_one_direction=256/encoding=adaptive_u8,bfs,254,,,no_filter,64,4,out,adaptive_u8,256,8507.230628668105,8477.18352497305,8597.2445586912,117547.06597822192
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=1/csr_direction=out/csr_type_bytes_one_direction=8/encoding=adaptive_u8,bfs,254,,,no_filter,8,1,out,adaptive_u8,8,410.43884698003023,408.8317794956556,411.3448854943996,2436416.5511084157
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=16/csr_direction=out/csr_type_bytes_one_direction=128/encoding=adaptive_u8,bfs,254,,,no_filter,8,16,out,adaptive_u8,128,4748.674441802088,4735.891352498193,4761.421378319461,210585.08269109877
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=4/csr_direction=in/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,no_filter,8,4,in,adaptive_u8,32,1390.7703995323786,1366.545450469077,1463.1879570108476,719025.9444234878
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,no_filter,8,4,out,adaptive_u8,32,1338.6574336458625,1328.4840739593296,1341.71579889464,747017.1045003488
open_type_bfs/query_surface=bfs/label_count=254/selectivity=none_matched/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,none_matched,8,4,out,adaptive_u8,32,187.3124694867546,181.9206767826376,192.8695203837966,5338672.875009599
open_type_bfs/query_surface=bfs/label_count=254/selectivity=one_of_32/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,one_of_32,8,4,out,adaptive_u8,32,313.7891744911578,311.74767544799954,315.77478378570686,3186853.088930188
open_type_bfs/query_surface=bfs/label_count=255/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=64/encoding=adaptive_u16,bfs,255,,,no_filter,8,4,out,adaptive_u16,64,1346.904893736018,1332.9631975515786,1351.758879567487,742442.9183163927
open_type_bfs/query_surface=bfs/label_count=65534/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=64/encoding=adaptive_u16,bfs,65534,,,no_filter,8,4,out,adaptive_u16,64,1341.1270465817506,1333.9287550019726,1345.8038074242352,745641.5128967749
open_type_bfs/query_surface=bfs/label_count=65535/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=128/encoding=adaptive_u32,bfs,65535,,,no_filter,8,4,out,adaptive_u32,128,1359.6059020109265,1348.6084674919603,1374.5895105440575,735507.251418186
