query_surface,label_count,sample_index,elapsed_ns,result_digest
traverse,254,1,16206000,11290583525d343f7230e2931507eec8
traverse,254,2,27477000,11290583525d343f7230e2931507eec8
traverse,254,3,19363000,11290583525d343f7230e2931507eec8
traverse,254,4,19013000,11290583525d343f7230e2931507eec8
traverse,254,5,19289000,11290583525d343f7230e2931507eec8
traverse,254,6,28911000,11290583525d343f7230e2931507eec8
traverse,254,7,17343000,11290583525d343f7230e2931507eec8
traverse,254,8,27193000,11290583525d343f7230e2931507eec8
traverse,254,9,14311000,11290583525d343f7230e2931507eec8
traverse,254,10,28165000,11290583525d343f7230e2931507eec8
traverse,254,11,20834000,11290583525d343f7230e2931507eec8
traverse,254,12,21025000,11290583525d343f7230e2931507eec8
traverse,254,13,14452000,11290583525d343f7230e2931507eec8
traverse,254,14,17299000,11290583525d343f7230e2931507eec8
traverse,254,15,18464000,11290583525d343f7230e2931507eec8
traverse,254,16,18433000,11290583525d343f7230e2931507eec8
traverse,254,17,26754000,11290583525d343f7230e2931507eec8
traverse,254,18,20067000,11290583525d343f7230e2931507eec8
traverse,254,19,21092000,11290583525d343f7230e2931507eec8
traverse,254,20,20709000,11290583525d343f7230e2931507eec8
traverse,254,21,18704000,11290583525d343f7230e2931507eec8
traverse,254,22,26890000,11290583525d343f7230e2931507eec8
traverse,254,23,16808000,11290583525d343f7230e2931507eec8
traverse,254,24,18356000,11290583525d343f7230e2931507eec8
traverse,254,25,23697000,11290583525d343f7230e2931507eec8
traverse,254,26,18810000,11290583525d343f7230e2931507eec8
traverse,254,27,19032000,11290583525d343f7230e2931507eec8
traverse,254,28,30240000,11290583525d343f7230e2931507eec8
traverse,254,29,16582000,11290583525d343f7230e2931507eec8
traverse,254,30,16212000,11290583525d343f7230e2931507eec8
traverse,254,31,23409000,11290583525d343f7230e2931507eec8
traverse,254,32,22613000,11290583525d343f7230e2931507eec8
traverse,254,33,21566000,11290583525d343f7230e2931507eec8
traverse,254,34,30487000,11290583525d343f7230e2931507eec8
traverse,254,35,25372000,11290583525d343f7230e2931507eec8
traverse,254,36,24600000,11290583525d343f7230e2931507eec8
traverse,254,37,22554000,11290583525d343f7230e2931507eec8
traverse,254,38,18822000,11290583525d343f7230e2931507eec8
traverse,254,39,18549000,11290583525d343f7230e2931507eec8
traverse,254,40,18961000,11290583525d343f7230e2931507eec8
shortest_path,254,1,4112000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,2,3977000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,3,4037000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,4,3872000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,5,4014000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,6,4581000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,7,4251000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,8,3876000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,9,4019000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,10,3967000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,11,4305000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,12,4098000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,13,3847000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,14,4387000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,15,3853000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,16,4145000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,17,4368000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,254,18,4694000,598bc6e7cecc93ca052bc155b2a13c9b
