case_name,strategy,selected_strategy,selector_class,key_shape,rls_scope,policy_shape,query_kind,sample,total_ms,result_rows,result_signature,visibility_us,hidden_nodes,hidden_relationships,spi_calls,requested_keys,returned_keys,requested_key_bytes,returned_key_bytes,source_rows,memory_peak_bytes,work_units,relationship_completeness_checks,gql_read_recheck_calls,gql_read_recheck_rows,gql_read_recheck_elapsed_micros
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,1,1881.684,1,ae8d9ca16bb0441cf540799009d32815,1875341,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,2,1778.828,1,ae8d9ca16bb0441cf540799009d32815,1773827,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,3,2308.227,1,ae8d9ca16bb0441cf540799009d32815,2302714,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,4,2597.458,1,ae8d9ca16bb0441cf540799009d32815,2584696,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,5,2952.188,1,ae8d9ca16bb0441cf540799009d32815,2941889,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,6,2473.743,1,ae8d9ca16bb0441cf540799009d32815,2464831,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,7,2187.871,1,ae8d9ca16bb0441cf540799009d32815,2182161,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,8,2452.727,1,ae8d9ca16bb0441cf540799009d32815,2447097,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,9,2315.533,1,ae8d9ca16bb0441cf540799009d32815,2307746,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_auto,auto,lazy,targeted,scalar,node,broad_allow,gql_identity_one_hop,10,2203.379,1,ae8d9ca16bb0441cf540799009d32815,2196803,0,0,3,3,3,9,9,3,8818902,14,1,0,0,0
p5_gql_identity_one_hop_eager_oracle,eager,eager,targeted,scalar,node,broad_allow,gql_identity_one_hop,1,53541.812,1,ae8d9ca16bb0441cf540799009d32815,50183767,0,0,0,0,0,0,0,30000000,1816187289,90000014,2,1,1,1353070
p5_gql_identity_one_hop_eager_oracle,eager,eager,targeted,scalar,node,broad_allow,gql_identity_one_hop,2,56353.06,1,ae8d9ca16bb0441cf540799009d32815,53771035,0,0,0,0,0,0,0,30000000,1816187289,90000014,2,1,1,905048
p5_gql_identity_one_hop_eager_oracle,eager,eager,targeted,scalar,node,broad_allow,gql_identity_one_hop,3,53906.983,1,ae8d9ca16bb0441cf540799009d32815,51116816,0,0,0,0,0,0,0,30000000,1816187289,90000014,2,1,1,1123911
p5_gql_identity_one_hop_eager_oracle,eager,eager,targeted,scalar,node,broad_allow,gql_identity_one_hop,4,58268.255,1,ae8d9ca16bb0441cf540799009d32815,55744045,0,0,0,0,0,0,0,30000000,1816187289,90000014,2,1,1,842895
p5_gql_identity_one_hop_eager_oracle,eager,eager,targeted,scalar,node,broad_allow,gql_identity_one_hop,5,57082.182,1,ae8d9ca16bb0441cf540799009d32815,54591525,0,0,0,0,0,0,0,30000000,1816187289,90000014,2,1,1,869604
