case_name,status,completed_samples,elapsed_seconds,log
p3_no_rls_auto,complete,1,0,logs/p3_no_rls_auto.log
p3_node_bfs_eager,complete,1,0,logs/p3_node_bfs_eager.log
p3_node_bfs_lazy,complete,1,0,logs/p3_node_bfs_lazy.log
p3_node_inbound_eager,complete,1,0,logs/p3_node_inbound_eager.log
p3_node_inbound_lazy,complete,1,0,logs/p3_node_inbound_lazy.log
p3_node_multiseed_eager,complete,1,1,logs/p3_node_multiseed_eager.log
p3_node_multiseed_lazy,complete,1,0,logs/p3_node_multiseed_lazy.log
p3_edge_visible_eager,complete,1,0,logs/p3_edge_visible_eager.log
p3_edge_visible_lazy,complete,1,0,logs/p3_edge_visible_lazy.log
p3_edge_hidden_eager,complete,1,0,logs/p3_edge_hidden_eager.log
p3_edge_hidden_lazy,complete,1,1,logs/p3_edge_hidden_lazy.log
p3_combined_eager,complete,1,0,logs/p3_combined_eager.log
p3_combined_lazy,complete,1,0,logs/p3_combined_lazy.log
