case_name,strategy,key_shape,rls_scope,policy_shape,query_kind,sample,total_ms,result_rows,visibility_us,hidden_nodes,hidden_relationships,spi_calls,requested_keys,returned_keys,requested_key_bytes,returned_key_bytes,source_rows
p3_combined_eager,eager,scalar,combined,sparse_allow,edge_one_hop,1,466.386,1,409866,19800,19800,0,0,0,0,0,399
p3_combined_lazy,lazy,scalar,combined,sparse_allow,edge_one_hop,1,63.114,1,0,0,0,3,3,2,9,6,2
p3_edge_hidden_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,343.957,1,296057,0,9900,0,0,0,0,0,99
p3_edge_hidden_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,52.737,1,0,0,0,1,1,0,3,0,0
p3_edge_visible_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,349.366,2,293120,0,9900,0,0,0,0,0,99
p3_edge_visible_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,51.248,2,0,0,0,1,1,1,3,3,1
p3_no_rls_auto,auto,scalar,none,no_rls,traverse_depth_4,1,37.387,5,0,0,0,0,0,0,0,0,0
p3_node_bfs_eager,eager,scalar,node,sparse_allow,traverse_depth_4,1,171.153,1,123644,19800,9900,0,0,0,0,0,300
p3_node_bfs_lazy,lazy,scalar,node,sparse_allow,traverse_depth_4,1,52.79,1,0,0,0,3,3,2,9,6,2
p3_node_inbound_eager,eager,scalar,node,sparse_allow,inbound_one_hop,1,166.566,1,120915,19800,9900,0,0,0,0,0,300
p3_node_inbound_lazy,lazy,scalar,node,sparse_allow,inbound_one_hop,1,51.742,1,0,0,0,3,3,1,7,3,1
p3_node_multiseed_eager,eager,scalar,node,sparse_allow,multi_seed_one_hop,1,172.049,2,125636,19800,9900,0,0,0,0,0,300
p3_node_multiseed_lazy,lazy,scalar,node,sparse_allow,multi_seed_one_hop,1,66.001,2,0,0,0,6,6,4,18,12,4
p4_dfs_no_rls_auto,auto,scalar,none,no_rls,dfs_depth_4,1,34.745,5,0,0,0,0,0,0,0,0,0
p4_node_dfs_any_eager,eager,scalar,node,sparse_allow,dfs_any_depth_4,1,168.302,1,121947,19800,9900,0,0,0,0,0,300
p4_node_dfs_any_lazy,lazy,scalar,node,sparse_allow,dfs_any_depth_4,1,55.275,1,0,0,0,3,3,2,9,6,2
p4_node_dfs_in_eager,eager,scalar,node,sparse_allow,dfs_in_depth_4,1,175.344,1,127002,19800,9900,0,0,0,0,0,300
p4_node_dfs_in_lazy,lazy,scalar,node,sparse_allow,dfs_in_depth_4,1,55.448,1,0,0,0,3,3,1,7,3,1
p4_node_dfs_out_eager,eager,scalar,node,sparse_allow,dfs_out_depth_4,1,175.391,1,127159,19800,9900,0,0,0,0,0,300
p4_node_dfs_out_lazy,lazy,scalar,node,sparse_allow,dfs_out_depth_4,1,56.343,1,0,0,0,3,3,2,9,6,2
p4_node_path_eager,eager,scalar,node,broad_allow,shortest_path,1,9208.566,5,9160654,0,0,0,0,0,0,0,30000
p4_node_path_lazy,lazy,scalar,node,broad_allow,shortest_path,1,54,5,0,0,0,8,8,8,24,24,8
p4_node_weighted_path_eager,eager,scalar,node,broad_allow,weighted_shortest_path,1,9598.182,5,9550881,0,0,0,0,0,0,0,30000
p4_node_weighted_path_lazy,lazy,scalar,node,broad_allow,weighted_shortest_path,1,57.649,5,0,0,0,5,5,5,15,15,5
p4_path_no_rls_auto,auto,scalar,none,no_rls,shortest_path,1,34.439,5,0,0,0,0,0,0,0,0,0
p4_weighted_path_no_rls_auto,auto,scalar,none,no_rls,weighted_shortest_path,1,34.731,5,0,0,0,0,0,0,0,0,0
