case_name,strategy,key_shape,rls_scope,policy_shape,query_kind,samples,p50_ms,p95_ms,p50_visibility_ms,p95_visibility_ms,result_rows,hidden_nodes,hidden_relationships,min_spi_calls,max_spi_calls,min_requested_keys,max_requested_keys,min_returned_keys,max_returned_keys,min_requested_key_bytes,max_requested_key_bytes,min_returned_key_bytes,max_returned_key_bytes,min_source_rows,max_source_rows
p3_combined_eager,eager,scalar,combined,sparse_allow,edge_one_hop,1,466.386,466.386,409.866,409.866,1,19800,19800,0,0,0,0,0,0,0,0,0,0,399,399
p3_combined_lazy,lazy,scalar,combined,sparse_allow,edge_one_hop,1,63.114,63.114,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p3_edge_hidden_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,343.957,343.957,296.057,296.057,1,0,9900,0,0,0,0,0,0,0,0,0,0,99,99
p3_edge_hidden_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,52.737,52.737,0,0,1,0,0,1,1,1,1,0,0,3,3,0,0,0,0
p3_edge_visible_eager,eager,scalar,edge,sparse_allow,edge_one_hop,1,349.366,349.366,293.12,293.12,2,0,9900,0,0,0,0,0,0,0,0,0,0,99,99
p3_edge_visible_lazy,lazy,scalar,edge,sparse_allow,edge_one_hop,1,51.248,51.248,0,0,2,0,0,1,1,1,1,1,1,3,3,3,3,1,1
p3_no_rls_auto,auto,scalar,none,no_rls,traverse_depth_4,1,37.387,37.387,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3_node_bfs_eager,eager,scalar,node,sparse_allow,traverse_depth_4,1,171.153,171.153,123.644,123.644,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p3_node_bfs_lazy,lazy,scalar,node,sparse_allow,traverse_depth_4,1,52.79,52.79,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p3_node_inbound_eager,eager,scalar,node,sparse_allow,inbound_one_hop,1,166.566,166.566,120.915,120.915,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p3_node_inbound_lazy,lazy,scalar,node,sparse_allow,inbound_one_hop,1,51.742,51.742,0,0,1,0,0,3,3,3,3,1,1,7,7,3,3,1,1
p3_node_multiseed_eager,eager,scalar,node,sparse_allow,multi_seed_one_hop,1,172.049,172.049,125.636,125.636,2,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p3_node_multiseed_lazy,lazy,scalar,node,sparse_allow,multi_seed_one_hop,1,66.001,66.001,0,0,2,0,0,6,6,6,6,4,4,18,18,12,12,4,4
p4_dfs_no_rls_auto,auto,scalar,none,no_rls,dfs_depth_4,1,34.745,34.745,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4_node_dfs_any_eager,eager,scalar,node,sparse_allow,dfs_any_depth_4,1,168.302,168.302,121.947,121.947,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p4_node_dfs_any_lazy,lazy,scalar,node,sparse_allow,dfs_any_depth_4,1,55.275,55.275,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p4_node_dfs_in_eager,eager,scalar,node,sparse_allow,dfs_in_depth_4,1,175.344,175.344,127.002,127.002,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p4_node_dfs_in_lazy,lazy,scalar,node,sparse_allow,dfs_in_depth_4,1,55.448,55.448,0,0,1,0,0,3,3,3,3,1,1,7,7,3,3,1,1
p4_node_dfs_out_eager,eager,scalar,node,sparse_allow,dfs_out_depth_4,1,175.391,175.391,127.159,127.159,1,19800,9900,0,0,0,0,0,0,0,0,0,0,300,300
p4_node_dfs_out_lazy,lazy,scalar,node,sparse_allow,dfs_out_depth_4,1,56.343,56.343,0,0,1,0,0,3,3,3,3,2,2,9,9,6,6,2,2
p4_node_path_eager,eager,scalar,node,broad_allow,shortest_path,1,9208.566,9208.566,9160.654,9160.654,5,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000
p4_node_path_lazy,lazy,scalar,node,broad_allow,shortest_path,1,54,54,0,0,5,0,0,8,8,8,8,8,8,24,24,24,24,8,8
p4_node_weighted_path_eager,eager,scalar,node,broad_allow,weighted_shortest_path,1,9598.182,9598.182,9550.881,9550.881,5,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000
p4_node_weighted_path_lazy,lazy,scalar,node,broad_allow,weighted_shortest_path,1,57.649,57.649,0,0,5,0,0,5,5,5,5,5,5,15,15,15,15,5,5
p4_path_no_rls_auto,auto,scalar,none,no_rls,shortest_path,1,34.439,34.439,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4_weighted_path_no_rls_auto,auto,scalar,none,no_rls,weighted_shortest_path,1,34.731,34.731,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
