benchmark_id,query_surface,label_count,request,request_shape,selectivity,degree,depth,csr_direction,encoding,csr_type_bytes_one_direction,latency_median_ns,latency_ci_lower_ns,latency_ci_upper_ns,throughput_per_second
open_type_bfs/query_surface=bfs/label_count=254/selectivity=all_matched/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,all_matched,8,4,out,adaptive_u8,32,1441.8477547165794,1436.8032702961718,1455.82881353328,693554.5009719612
open_type_bfs/query_surface=bfs/label_count=254/selectivity=half_of_32/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,half_of_32,8,4,out,adaptive_u8,32,1015.1494938967581,1012.3217741416998,1022.9011533021434,985076.5882386394
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=1/depth=4/csr_direction=out/csr_type_bytes_one_direction=4/encoding=adaptive_u8,bfs,254,,,no_filter,1,4,out,adaptive_u8,4,318.91223624483973,317.944557811565,319.8211832943481,3135658.9253987297
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=1024/depth=4/csr_direction=out/csr_type_bytes_one_direction=4096/encoding=adaptive_u8,bfs,254,,,no_filter,1024,4,out,adaptive_u8,4096,164921.88572303922,164296.5276847718,165387.79275392817,6063.476630865992
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=64/depth=4/csr_direction=out/csr_type_bytes_one_direction=256/encoding=adaptive_u8,bfs,254,,,no_filter,64,4,out,adaptive_u8,256,8619.278573167761,8590.667642174398,8657.374939128316,116018.99062794527
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=1/csr_direction=out/csr_type_bytes_one_direction=8/encoding=adaptive_u8,bfs,254,,,no_filter,8,1,out,adaptive_u8,8,420.29680611574895,417.6020137136999,422.1034428468015,2379270.994804091
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=16/csr_direction=out/csr_type_bytes_one_direction=128/encoding=adaptive_u8,bfs,254,,,no_filter,8,16,out,adaptive_u8,128,4757.040762079715,4729.572059118236,4777.802333237904,210214.72171762792
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=4/csr_direction=in/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,no_filter,8,4,in,adaptive_u8,32,1290.9386787287792,1282.09469038566,1298.2026165699422,774630.1326912956
open_type_bfs/query_surface=bfs/label_count=254/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,no_filter,8,4,out,adaptive_u8,32,1311.2824777154176,1305.9223041228242,1318.5675048604235,762612.1884448959
open_type_bfs/query_surface=bfs/label_count=254/selectivity=none_matched/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,none_matched,8,4,out,adaptive_u8,32,185.97873189206442,181.32503928501276,190.57173943163005,5376958.912594184
open_type_bfs/query_surface=bfs/label_count=254/selectivity=one_of_32/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=32/encoding=adaptive_u8,bfs,254,,,one_of_32,8,4,out,adaptive_u8,32,314.9737498899938,313.40860928000325,316.7386658373231,3174867.748024256
open_type_bfs/query_surface=bfs/label_count=255/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=64/encoding=adaptive_u16,bfs,255,,,no_filter,8,4,out,adaptive_u16,64,1304.5764232808572,1297.0211089246018,1316.2173504063262,766532.3258603102
open_type_bfs/query_surface=bfs/label_count=65534/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=64/encoding=adaptive_u16,bfs,65534,,,no_filter,8,4,out,adaptive_u16,64,1299.1428397451548,1291.289532250939,1314.5192260577946,769738.2992898334
open_type_bfs/query_surface=bfs/label_count=65535/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=128/encoding=adaptive_u32,bfs,65535,,,no_filter,8,4,out,adaptive_u32,128,1309.8311762828775,1302.2646979893334,1318.4562368828012,763457.1676923004
open_type_bfs/query_surface=bfs/label_count=65536/selectivity=no_filter/degree=8/depth=4/csr_direction=out/csr_type_bytes_one_direction=128/encoding=adaptive_u32,bfs,65536,,,no_filter,8,4,out,adaptive_u32,128,1314.806883046202,1306.3083994199067,1321.996323934354,760567.9684937124
open_type_filter_resolution/query_surface=filter_request/label_count=254/request=32_labels/encoding=adaptive_u8,filter_request,254,32_labels,,,,,,adaptive_u8,,706.7841692124915,701.0587310823854,850.2896219343133,1414859.0808339885
open_type_filter_resolution/query_surface=filter_request/label_count=254/request=first/encoding=adaptive_u8,filter_request,254,first,,,,,,adaptive_u8,,61.77429276620907,61.017455238886235,62.08656947489342,16187963.55604748
open_type_filter_resolution/query_surface=filter_request/label_count=254/request=last/encoding=adaptive_u8,filter_request,254,last,,,,,,adaptive_u8,,63.07501634832657,62.555939932452304,64.06977825054942,15854137.785356766
open_type_filter_resolution/query_surface=filter_request/label_count=254/request=missing/encoding=adaptive_u8,filter_request,254,missing,,,,,,adaptive_u8,,46.161381119651196,45.64058611701756,46.77828271441825,21663129.996218715
open_type_filter_resolution/query_surface=filter_request/label_count=255/request=32_labels/encoding=adaptive_u16,filter_request,255,32_labels,,,,,,adaptive_u16,,688.6259418971085,685.1736885057446,692.9097394690232,1452167.1914437048
open_type_filter_resolution/query_surface=filter_request/label_count=255/request=first/encoding=adaptive_u16,filter_request,255,first,,,,,,adaptive_u16,,60.4252995055821,59.70486973423037,61.51365375756764,16549359.426966842
open_type_filter_resolution/query_surface=filter_request/label_count=255/request=last/encoding=adaptive_u16,filter_request,255,last,,,,,,adaptive_u16,,60.052186649659866,59.399524771750805,60.518031659985425,16652182.972685542
open_type_filter_resolution/query_surface=filter_request/label_count=255/request=missing/encoding=adaptive_u16,filter_request,255,missing,,,,,,adaptive_u16,,45.66739354490636,44.9264125072075,45.80695946507808,21897461.67616649
open_type_filter_resolution/query_surface=filter_request/label_count=65534/request=32_labels/encoding=adaptive_u16,filter_request,65534,32_labels,,,,,,adaptive_u16,,704.7528174456547,702.7804606118991,709.1750438674098,1418937.214929421
open_type_filter_resolution/query_surface=filter_request/label_count=65534/request=first/encoding=adaptive_u16,filter_request,65534,first,,,,,,adaptive_u16,,59.14071913868045,58.58881774180527,59.62838954181039,16908823.81147711
open_type_filter_resolution/query_surface=filter_request/label_count=65534/request=last/encoding=adaptive_u16,filter_request,65534,last,,,,,,adaptive_u16,,59.49768573677869,58.94101665763204,60.08924426955521,16807376.415009815
open_type_filter_resolution/query_surface=filter_request/label_count=65534/request=missing/encoding=adaptive_u16,filter_request,65534,missing,,,,,,adaptive_u16,,45.47432412203679,45.196697438662795,45.77903372432618,21990431.288574148
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=32_labels/encoding=adaptive_u32,filter_request,65535,32_labels,,,,,,adaptive_u32,,701.6281276465509,698.1034812711549,710.9740931502024,1425256.42943402
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=first/encoding=adaptive_u32,filter_request,65535,first,,,,,,adaptive_u32,,58.70553986538205,57.98134667758083,59.30771261845018,17034167.51286343
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=last/encoding=adaptive_u32,filter_request,65535,last,,,,,,adaptive_u32,,59.55093715556434,59.138658385784666,59.846375952284674,16792346.985030808
open_type_filter_resolution/query_surface=filter_request/label_count=65535/request=missing/encoding=adaptive_u32,filter_request,65535,missing,,,,,,adaptive_u32,,44.45581231482246,44.27407285817787,44.939991607171606,22494246.487237845
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=32_labels/encoding=adaptive_u32,filter_request,65536,32_labels,,,,,,adaptive_u32,,680.1620489774119,677.7658364567537,682.3457702461451,1470237.866848713
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=first/encoding=adaptive_u32,filter_request,65536,first,,,,,,adaptive_u32,,57.93458555848832,57.07112202374863,58.24208325660385,17260846.70080952
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=last/encoding=adaptive_u32,filter_request,65536,last,,,,,,adaptive_u32,,58.89691151599109,58.24064437281659,59.48270738503916,16978818.995092638
open_type_filter_resolution/query_surface=filter_request/label_count=65536/request=missing/encoding=adaptive_u32,filter_request,65536,missing,,,,,,adaptive_u32,,43.95650067944929,43.51567258795504,44.20827287125865,22749763.619548626
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=bounded_4096/encoding=adaptive_u8,filter_resolution,254,,bounded_4096,,,,,adaptive_u8,,5149.070523281114,5116.928669857847,5177.9782644846455,194209.80844573388
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=empty/encoding=adaptive_u8,filter_resolution,254,,empty,,,,,adaptive_u8,,5.511897451882342,5.456680981932269,5.56308581943949,181425726.57234302
open_type_filter_resolution/query_surface=filter_resolution/label_count=254/request_shape=one_exact/encoding=adaptive_u8,filter_resolution,254,,one_exact,,,,,adaptive_u8,,61.67175691773204,61.30643755517011,62.21006915571197,16214877.765424535
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=bounded_4096/encoding=adaptive_u16,filter_resolution,255,,bounded_4096,,,,,adaptive_u16,,5171.389533154921,5164.90634151676,5194.025695349848,193371.6254768238
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=empty/encoding=adaptive_u16,filter_resolution,255,,empty,,,,,adaptive_u16,,5.446099705327938,5.430477305777135,5.478052475341375,183617644.5726281
open_type_filter_resolution/query_surface=filter_resolution/label_count=255/request_shape=one_exact/encoding=adaptive_u16,filter_resolution,255,,one_exact,,,,,adaptive_u16,,62.58560236288753,61.809759983993814,63.125031432945995,15978115.768571516
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=bounded_4096/encoding=adaptive_u16,filter_resolution,65534,,bounded_4096,,,,,adaptive_u16,,120274.97097744362,119324.11458333334,120901.78246527778,8314.281781764388
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=empty/encoding=adaptive_u16,filter_resolution,65534,,empty,,,,,adaptive_u16,,5.435014326254949,5.420958492209561,5.4485879006444105,183992155.3047791
open_type_filter_resolution/query_surface=filter_resolution/label_count=65534/request_shape=one_exact/encoding=adaptive_u16,filter_resolution,65534,,one_exact,,,,,adaptive_u16,,59.894699704500596,59.66316026119447,60.387975565192065,16695968.173037825
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=bounded_4096/encoding=adaptive_u32,filter_resolution,65535,,bounded_4096,,,,,adaptive_u32,,119913.80531825796,119633.15281965383,120186.03162743543,8339.323377704042
