phase	sample_id	epoch_ms	backend	pid	rss_bytes	pss_bytes
idle	1	1787280076409	1	4028	21958656	3398656
idle	1	1787280076409	2	4027	21938176	3404800
idle	1	1787280076409	3	4026	21966848	3389440
idle	1	1787280076409	4	4032	22327296	3398656
idle	1	1787280076409	5	4030	22093824	3399680
idle	1	1787280076409	6	4031	22327296	3398656
idle	1	1787280076409	7	4029	22327296	3398656
idle	1	1787280076409	8	4033	22327296	3398656
idle	2	1787280076530	1	4028	21958656	3398656
idle	2	1787280076530	2	4027	21938176	3404800
idle	2	1787280076530	3	4026	21966848	3389440
idle	2	1787280076530	4	4032	22327296	3398656
idle	2	1787280076530	5	4030	22093824	3399680
idle	2	1787280076530	6	4031	22327296	3398656
idle	2	1787280076530	7	4029	22327296	3398656
idle	2	1787280076530	8	4033	22327296	3398656
idle	3	1787280076655	1	4028	21958656	3398656
idle	3	1787280076655	2	4027	21938176	3404800
idle	3	1787280076655	3	4026	21966848	3389440
idle	3	1787280076655	4	4032	22327296	3398656
idle	3	1787280076655	5	4030	22093824	3399680
idle	3	1787280076655	6	4031	22327296	3398656
idle	3	1787280076655	7	4029	22327296	3398656
idle	3	1787280076655	8	4033	22327296	3398656
idle	4	1787280076771	1	4028	21958656	3398656
idle	4	1787280076771	2	4027	21938176	3404800
idle	4	1787280076771	3	4026	21966848	3389440
idle	4	1787280076771	4	4032	22327296	3398656
idle	4	1787280076771	5	4030	22093824	3399680
idle	4	1787280076771	6	4031	22327296	3398656
idle	4	1787280076771	7	4029	22327296	3398656
idle	4	1787280076771	8	4033	22327296	3398656
idle	5	1787280076890	1	4028	21958656	3398656
idle	5	1787280076890	2	4027	21938176	3404800
idle	5	1787280076890	3	4026	21966848	3389440
idle	5	1787280076890	4	4032	22327296	3398656
idle	5	1787280076890	5	4030	22093824	3399680
idle	5	1787280076890	6	4031	22327296	3398656
idle	5	1787280076890	7	4029	22327296	3398656
idle	5	1787280076890	8	4033	22327296	3398656
idle	6	1787280077012	1	4028	21958656	3398656
idle	6	1787280077012	2	4027	21938176	3404800
idle	6	1787280077012	3	4026	21966848	3389440
idle	6	1787280077012	4	4032	22327296	3398656
idle	6	1787280077012	5	4030	22093824	3399680
idle	6	1787280077012	6	4031	22327296	3398656
